Platform,Handle,Content_Type,Title_Caption,URL,Content_ID,Upload_Date,Views,Likes,Tournament,Accreditation_Status,Content_Format,Featured_Entities,Featured_On_Portfolio
YouTube,@spinandswing26,Short,Gt fan vs Mi fan,https://www.youtube.com/watch?v=DxgBGpUzZ08,DxgBGpUzZ08,2026-05-31,18674473,0,IPL 2026,Independent Fan Coverage,Fan Vox Pop & Banter,"Gujarat Titans (GT), Mumbai Indians (MI)",No
YouTube,@spinandswing26,Short,Guess the Jersey number !,https://www.youtube.com/watch?v=YPeQi6-h30M,YPeQi6-h30M,2026-01-18,7725178,0,General Cricket Series,Creator Studio / Digital,Cricket Trivia & Jersey Guessing,Indian Cricket Team,No
Instagram,@abhishekpandey_26,Reel,Ye kab GT me aaya !! (Viral 7.4M Hit),https://www.instagram.com/reel/DW84LM4y4Fr/,DW84LM4y4Fr,March – May 2026,7412500,593000,IPL 2026,Independent Fan Coverage,Viral Stadium Moment & Banter,Gujarat Titans (GT),Yes
YouTube,@spinandswing26,Short,Guess the Player | Spin & Swing,https://www.youtube.com/watch?v=5XcoId1xQfI,5XcoId1xQfI,2025-05-28,5355852,0,General Cricket Series,Creator Studio / Digital,Cricket Trivia & Player Guessing,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Jersey number - Pt 10,https://www.youtube.com/watch?v=ehA4CLVExQM,ehA4CLVExQM,2026-03-05,3861570,0,General Cricket Series,Creator Studio / Digital,Cricket Trivia & Jersey Guessing,Indian Cricket Team,No
YouTube,@spinandswing26,Short,Guess the squad of T20 World Cup ?,https://www.youtube.com/watch?v=O0ILNSPGcsM,O0ILNSPGcsM,2026-01-20,1054229,0,ICC Men's T20 World Cup 2026,Creator Studio / Digital,Squad Trivia & Quiz,Team India,No
YouTube,@spinandswing26,Short,Guess the Squad of Gt !!,https://www.youtube.com/watch?v=kaCk8jJC1Rk,kaCk8jJC1Rk,2026-05-29,1001490,0,IPL 2026,Creator Studio / Digital,Squad Trivia & Quiz,Gujarat Titans (GT),No
YouTube,@spinandswing26,Short,Guess the Jersey number - Pt 11,https://www.youtube.com/watch?v=R0V4qcXudOk,R0V4qcXudOk,2026-03-06,984581,0,General Cricket Series,Creator Studio / Digital,Cricket Trivia & Jersey Guessing,Indian Cricket Team,No
YouTube,@spinandswing26,Short,Guess the Squad of RCB !!,https://www.youtube.com/watch?v=GIJrFq2RTgE,GIJrFq2RTgE,2026-05-30,849955,0,IPL 2026,Creator Studio / Digital,Squad Trivia & Quiz,Royal Challengers Bengaluru (RCB),No
Instagram,@abhishekpandey_26,Reel,Batao kaha hai meri Gujarat ?? (GT Fan Special),https://www.instagram.com/reel/DY8twCQohkY/,DY8twCQohkY,March – May 2026,812500,65000,IPL 2026,Independent Fan Coverage,Stadium Vlog & Fan Reaction,Gujarat Titans (GT),Yes
Instagram,@abhishekpandey_26,Reel,Story behind the 6-7 Celebration (DPL),https://www.instagram.com/reel/DcRzXB-zlPg/,DcRzXB-zlPg,August – September 2026,800000,64000,DPL 2026 (Delhi Premier League),Accredited (DPL Field-of-Play Media Pass),Boundary Rope Story & Celebration,Delhi Premier League (DPL),Yes
Instagram,@abhishekpandey_26,Reel,We did it @gujarat_titans 🥹 (GT vs MI),https://www.instagram.com/reel/DJUtWygz-T2/,DJUtWygz-T2,March – May 2025,540000,44000,IPL 2025,Independent Fan Coverage,Stadium Vlog & Fan Reaction,"Gujarat Titans (GT), Mumbai Indians (MI)",Yes
Instagram,@abhishekpandey_26,Reel,Table topper Gujarat Titans!,https://www.instagram.com/reel/DYQOCiysdD0/,DYQOCiysdD0,March – May 2026,512500,41000,IPL 2026,Independent Fan Coverage,Match Reaction & Points Table,Gujarat Titans (GT),Yes
Instagram,@abhishekpandey_26,Reel,"Episode 2 : Story Behind the Post ft - @vanshbedi_ . . . . . #vanshbedi #dpl2026 #delhipremierleague #centraldelhikings . . . . ( Dpl , Delhi Premier league , Dpl Season 3 , Vansh ",https://www.instagram.com/reel/DcOV2DtBXIL/,DcOV2DtBXIL,August – September 2026,512000,41000,DPL 2026 (Delhi Premier League),Accredited (DPL Field-of-Play Media Pass),Story Behind the Post (Player Interview),"Vansh Bedi, Central Delhi Kings",Yes
Instagram,@abhishekpandey_26,Reel,There will be one change (Match Analysis),https://www.instagram.com/reel/DVlsJKSjJTH/,DVlsJKSjJTH,February – May 2026,350000,28000,ICC Men's T20 World Cup 2026,Commercial Partner (My11Circle),Tactical & Match Analysis,Team India,Yes
Instagram,@abhishekpandey_26,Reel,Episode 4 : Story Behind the Post ft. Himmat Singh,https://www.instagram.com/reel/DcdlCohB4qZ/,DcdlCohB4qZ,August – September 2026,237500,19000,DPL 2026 (Delhi Premier League),Accredited (DPL Field-of-Play Media Pass),Story Behind the Post (Player Interview),"Himmat Singh, Delhi Premier League (DPL)",Yes
