Platform,Handle,Content_Type,Title_Caption,URL,Content_ID,Upload_Date,Views,Likes,Tournament,Accreditation_Status,Content_Format,Featured_Entities,Featured_On_Portfolio
YouTube,@spinandswing26,Short,Gt fan vs Mi fan,https://www.youtube.com/shorts/DxgBGpUzZ08,DxgBGpUzZ08,2026-05-31,18674473,0,IPL 2026,Independent Fan Coverage,Fan Vox Pop & Stadium Reaction,"Gujarat Titans (GT), Mumbai Indians (MI)",No
Instagram,@abhishekpandey_26,Reel,Ye kab GT me aaya !! (Viral 7.4M Hit),https://www.instagram.com/reel/DW84LM4y4Fr/,DW84LM4y4Fr,March – May 2026,11183667,592684,IPL 2026,Independent Fan Coverage,Viral Stadium Moment & Banter,Gujarat Titans (GT),Yes
YouTube,@spinandswing26,Short,Guess the Jersey number !,https://www.youtube.com/shorts/YPeQi6-h30M,YPeQi6-h30M,2026-01-18,7725178,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Jersey Guessing,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Player | Spin & Swing,https://www.youtube.com/shorts/5XcoId1xQfI,5XcoId1xQfI,2025-05-28,5355852,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Player Guessing,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Jersey number - Pt 10,https://www.youtube.com/shorts/ehA4CLVExQM,ehA4CLVExQM,2026-03-05,3861570,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Jersey Guessing,Spin & Swing,No
Instagram,@spinandswing26,Reel,Reel (DTvNKDgiBAy),https://www.instagram.com/reel/DTvNKDgiBAy/,DTvNKDgiBAy,2026,3098706,149300,Cricket Coverage & Commentary,Independent Fan Coverage,Short-form Cricket Content,Spin & Swing,No
Instagram,@spinandswing26,Reel,Reel (DY_WIswoF99),https://www.instagram.com/reel/DY_WIswoF99/,DY_WIswoF99,2026,2558140,3,Cricket Coverage & Commentary,Independent Fan Coverage,Short-form Cricket Content,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the squad of T20 World Cup ?,https://www.youtube.com/shorts/O0ILNSPGcsM,O0ILNSPGcsM,2026-01-20,1054229,0,ICC Men's T20 World Cup 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Squad of Gt !!,https://www.youtube.com/shorts/kaCk8jJC1Rk,kaCk8jJC1Rk,2026-05-29,1001490,0,IPL 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Gujarat Titans (GT),No
YouTube,@spinandswing26,Short,Guess the Jersey number - Pt 11,https://www.youtube.com/shorts/R0V4qcXudOk,R0V4qcXudOk,2026-03-06,984581,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Jersey Guessing,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Squad of RCB !!,https://www.youtube.com/shorts/GIJrFq2RTgE,GIJrFq2RTgE,2026-05-30,849955,0,IPL 2026,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Royal Challengers Bengaluru (RCB),No
Instagram,@abhishekpandey_26,Reel,Batao kaha hai meri Gujarat ?? (GT Fan Special),https://www.instagram.com/reel/DY8twCQohkY/,DY8twCQohkY,March – May 2026,812500,65000,IPL 2026,Independent Fan Coverage,Stadium Vlog & Fan Reaction,Gujarat Titans (GT),Yes
Instagram,@abhishekpandey_26,Reel,Story behind the 6-7 Celebration (DPL),https://www.instagram.com/reel/DcRzXB-zlPg/,DcRzXB-zlPg,August – September 2026,800000,64000,DPL 2026 (Delhi Premier League),Accredited (DPL Field-of-Play Media Pass),Boundary Rope Story & Celebration,Delhi Premier League (DPL),Yes
YouTube,@spinandswing26,Short,Guess the Player | IPL 2024 @gujarattitans,https://www.youtube.com/shorts/YmwBlCHa-lI,YmwBlCHa-lI,,787000,0,IPL 2026,Creator Studio / Digital Production,Cricket Trivia & Player Guessing,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Jersey Number !,https://www.youtube.com/shorts/fjF8DPUcjt8,fjF8DPUcjt8,,691000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Jersey Guessing,Spin & Swing,No
YouTube,@spinandswing26,Short,Guess the Squad of India vs Afghanistan,https://www.youtube.com/shorts/zK8ZpS0cTPo,zK8ZpS0cTPo,,645000,0,General Cricket Trivia Series,Creator Studio / Digital Production,Cricket Trivia & Squad Quiz,Spin & Swing,No
Instagram,@abhishekpandey_26,Reel,We did it @gujarat_titans 🥹 (GT vs MI),https://www.instagram.com/reel/DJUtWygz-T2/,DJUtWygz-T2,March – May 2025,540000,44000,IPL 2025,Independent Fan Coverage,Stadium Vlog & Fan Reaction,"Gujarat Titans (GT), Mumbai Indians (MI)",Yes
YouTube,@spinandswing26,Short,Guess the Csk Players  | Spin & Swing,https://www.youtube.com/shorts/gjh-0L81NIg,gjh-0L81NIg,,518000,0,IPL 2026,Creator Studio / Digital Production,Short-form Cricket Content,Chennai Super Kings (CSK),No
